domain,signal,previous_run_id,current_run_id,previous_completed_at,current_completed_at,previous_outcome,current_outcome,previous_value_json,current_value_json,changed
dukehub.duke.edu,agent.a2a,26de370c-cfa2-49df-bedc-06e0ee375749,7a8dba28-baaf-4068-b7fb-85660fa68ef1,2026-09-23T19:55:35.238840+00:00,2026-09-23T19:56:16.853545+00:00,no_evidence,no_evidence,[],[],False
dukehub.duke.edu,agent.agent_card,26de370c-cfa2-49df-bedc-06e0ee375749,7a8dba28-baaf-4068-b7fb-85660fa68ef1,2026-09-23T19:55:35.238840+00:00,2026-09-23T19:56:16.853545+00:00,no_evidence,no_evidence,[],[],False
dukehub.duke.edu,agent.api_documentation,26de370c-cfa2-49df-bedc-06e0ee375749,7a8dba28-baaf-4068-b7fb-85660fa68ef1,2026-09-23T19:55:35.238840+00:00,2026-09-23T19:56:16.853545+00:00,no_evidence,no_evidence,[],[],False
dukehub.duke.edu,agent.graphql,26de370c-cfa2-49df-bedc-06e0ee375749,7a8dba28-baaf-4068-b7fb-85660fa68ef1,2026-09-23T19:55:35.238840+00:00,2026-09-23T19:56:16.853545+00:00,no_evidence,no_evidence,[],[],False
dukehub.duke.edu,agent.interface_links,26de370c-cfa2-49df-bedc-06e0ee375749,7a8dba28-baaf-4068-b7fb-85660fa68ef1,2026-09-23T19:55:35.238840+00:00,2026-09-23T19:56:16.853545+00:00,no_evidence,no_evidence,[],[],False
dukehub.duke.edu,agent.mcp,26de370c-cfa2-49df-bedc-06e0ee375749,7a8dba28-baaf-4068-b7fb-85660fa68ef1,2026-09-23T19:55:35.238840+00:00,2026-09-23T19:56:16.853545+00:00,no_evidence,no_evidence,[],[],False
dukehub.duke.edu,agent.oauth_metadata,26de370c-cfa2-49df-bedc-06e0ee375749,7a8dba28-baaf-4068-b7fb-85660fa68ef1,2026-09-23T19:55:35.238840+00:00,2026-09-23T19:56:16.853545+00:00,no_evidence,no_evidence,[],[],False
dukehub.duke.edu,agent.openapi,26de370c-cfa2-49df-bedc-06e0ee375749,7a8dba28-baaf-4068-b7fb-85660fa68ef1,2026-09-23T19:55:35.238840+00:00,2026-09-23T19:56:16.853545+00:00,no_evidence,no_evidence,[],[],False
dukehub.duke.edu,agent.tollbit_gateway,26de370c-cfa2-49df-bedc-06e0ee375749,7a8dba28-baaf-4068-b7fb-85660fa68ef1,2026-09-23T19:55:35.238840+00:00,2026-09-23T19:56:16.853545+00:00,no_evidence,no_evidence,null,null,False
dukehub.duke.edu,browser.navigation,26de370c-cfa2-49df-bedc-06e0ee375749,7a8dba28-baaf-4068-b7fb-85660fa68ef1,2026-09-23T19:55:35.238840+00:00,2026-09-23T19:56:16.853545+00:00,skipped,skipped,null,null,False
dukehub.duke.edu,browser.network_summary,26de370c-cfa2-49df-bedc-06e0ee375749,7a8dba28-baaf-4068-b7fb-85660fa68ef1,2026-09-23T19:55:35.238840+00:00,2026-09-23T19:56:16.853545+00:00,skipped,skipped,null,null,False
dukehub.duke.edu,browser.rendered_document,26de370c-cfa2-49df-bedc-06e0ee375749,7a8dba28-baaf-4068-b7fb-85660fa68ef1,2026-09-23T19:55:35.238840+00:00,2026-09-23T19:56:16.853545+00:00,skipped,skipped,null,null,False
dukehub.duke.edu,crawler.ai_homepage_policies,26de370c-cfa2-49df-bedc-06e0ee375749,7a8dba28-baaf-4068-b7fb-85660fa68ef1,2026-09-23T19:55:35.238840+00:00,2026-09-23T19:56:16.853545+00:00,observed,observed,"{""amazonbot"":true,""anthropic-ai"":true,""bytespider"":true,""ccbot"":true,""chatgpt-user"":true,""claude-web"":true,""cohere-ai"":true,""google-extended"":true,""gptbot"":true,""meta-externalagent"":true,""perplexitybot"":true}","{""amazonbot"":true,""anthropic-ai"":true,""bytespider"":true,""ccbot"":true,""chatgpt-user"":true,""claude-web"":true,""cohere-ai"":true,""google-extended"":true,""gptbot"":true,""meta-externalagent"":true,""perplexitybot"":true}",False
dukehub.duke.edu,crawler.ai_specific_user_agents,26de370c-cfa2-49df-bedc-06e0ee375749,7a8dba28-baaf-4068-b7fb-85660fa68ef1,2026-09-23T19:55:35.238840+00:00,2026-09-23T19:56:16.853545+00:00,observed,observed,[],[],False
dukehub.duke.edu,crawler.browser_http_difference,26de370c-cfa2-49df-bedc-06e0ee375749,7a8dba28-baaf-4068-b7fb-85660fa68ef1,2026-09-23T19:55:35.238840+00:00,2026-09-23T19:56:16.853545+00:00,skipped,skipped,null,null,False
dukehub.duke.edu,crawler.crawl_delays,26de370c-cfa2-49df-bedc-06e0ee375749,7a8dba28-baaf-4068-b7fb-85660fa68ef1,2026-09-23T19:55:35.238840+00:00,2026-09-23T19:56:16.853545+00:00,observed,observed,{},{},False
dukehub.duke.edu,crawler.homepage_policy_allowed,26de370c-cfa2-49df-bedc-06e0ee375749,7a8dba28-baaf-4068-b7fb-85660fa68ef1,2026-09-23T19:55:35.238840+00:00,2026-09-23T19:56:16.853545+00:00,observed,observed,true,true,False
